name,ID,ObjName,IoU50,IoU75,processTime(s)
ImageMatching,2,person,0.166667,0.166667,0.0028
ImageMatching,0,car,0.175325,0.175325,0.0048543
ImageMatching,1,person,0.00649351,0.00649351,0.00175817
ImageMatching,5,car,0.0285714,0.0285714,0.00245714
ImageMatching,6,car,0.0277778,0.0277778,0.00180556
IoU,2,person,0.333333,0.166667,0.001
IoU,0,car,0.24026,0.24026,0.000554745
IoU,1,person,0.00649351,0.00649351,0.00105769
IoU,5,car,0.971429,0.885714,0.00754286
IoU,6,car,0.0555556,0.0277778,0.0
IoUMatching,2,person,0.333333,0.166667,0.001
IoUMatching,0,car,0.24026,0.24026,0.00250667
IoUMatching,1,person,0.00649351,0.00649351,0.00072549
IoUMatching,5,car,1.0,0.885714,0.000657143
IoUMatching,6,car,0.0555556,0.0277778,0.0012
