name,ID,ObjName,IoU50,IoU75,processTime(s)
ImageMatching,0,person,0.0243902,0.0243902,0.00655
ImageMatching,1,car,0.0151515,0.0151515,0.000938462
IoU,0,person,0.0243902,0.0243902,0.00015
IoU,1,car,0.0909091,0.0909091,0.000592593
IoUMatching,0,person,0.0243902,0.0243902,0.001
IoUMatching,1,car,0.0909091,0.0909091,0.000969231
