Method Name,MSE x,MSE y,MSE z,AED
ImageMatching,4413.700666666666,129.22256666666664,3.4968166666666662,44.5937
IoU,14857.953666666668,458.9141333333333,9.688846666666667,174.89479999999998
IoUMatching,15601.404666666665,620.3895399999999,7.84901,184.708
