ID, ObjName, IoU50, IoU75, processTime(s)
0 car 0.268657 0.268657 0.06828
1 car 1 0.277778 0.0952941
3 car 0.929577 0.788732 0.0861714
24 car 0.555556 0.333333 0.0596471
29 car 0.5 0.333333 0.0846
49 truck 0.666667 0.4 0.0615
50 car 1 0.571429 0.0743333
90 car 0.724138 0.482759 0.05425
92 car 0.2 0.1 0.0682222
94 car 1 1 0
102 car 0.166667 0.0833333 0.0575455
108 car 1 0.5 0.063
124 train 0.75 0.5 0.121333
-1 Avg 0.673943 0.433796 0.0687828
