ID, ObjName, IoU50, IoU75, processTime(s)
0 car 0.00497512 0.00497512 0.00596721
1 car 0.611111 0.444444 0.00235294
3 car 0.056338 0.056338 0.00461429
24 car 0.0555556 0.0555556 0.00194118
29 car 0.166667 0.166667 0.0024
49 truck 0.0666667 0.0666667 0.00364286
50 car 0.142857 0.142857 0.0113333
90 car 0.0344828 0.0344828 0.00314286
92 car 0.2 0.2 0.0145556
94 car 1 1 0
102 car 0.0833333 0.0833333 0.00354545
108 car 0.5 0.5 0.002
124 train 0.5 0.5 0.00733333
-1 Avg 0.26323 0.250409 0.004833
