ID, ObjName, IoU50, IoU75, processTime(s)
0 car 0.577114 0.442786 7.84314e-05
1 car 0.722222 0.444444 0.000214286
3 car 0.957747 0.802817 0.000114286
24 car 0.555556 0.333333 0.000176471
29 car 0.833333 0.333333 0.0002
49 truck 0.666667 0.4 0
50 car 0.857143 0.714286 0
62 car 0.5 0.5 0
90 car 0.965517 0.448276 0.000142857
92 car 0.6 0.2 0
94 car 1 1 0
102 car 0.666667 0.333333 0.000181818
108 car 1 0.5 0
124 train 1 0.75 0
-1 Avg 0.778712 0.514472 7.91535e-05
