ID, ObjName, IoU50, IoU75, processTime(s)
0 car 0.577114 0.442786 0.000104575
1 car 0.722222 0.444444 0
3 car 0.957747 0.802817 1.42857e-05
24 car 0.555556 0.333333 0
29 car 0.833333 0.333333 0
49 truck 0.666667 0.4 0.000214286
50 car 0.857143 0.714286 0
62 car 0.5 0.5 0
90 car 0.965517 0.448276 0
92 car 0.7 0.3 0
94 car 1 1 0
102 car 0.666667 0.333333 0
108 car 1 1 0.001
124 train 1 0.75 0
-1 Avg 0.785855 0.557329 9.52248e-05
