ID, ObjName, IoU50, IoU75, processTime(s)
0 car 0.0199005 0.0199005 5.64516e-05
1 car 0.666667 0.5 0
3 car 0.957747 0.873239 0.000114286
24 car 0.722222 0.555556 0.000117647
29 car 0.666667 0.5 0.0002
49 truck 0.866667 0.333333 0
50 car 0.857143 0.285714 0
62 car 0.5 0.5 0
90 car 0.689655 0.517241 7.14286e-05
92 car 0.7 0.3 0
94 car 1 1 0
102 car 0.833333 0.416667 9.09091e-05
108 car 1 0.5 0
124 train 1 0.75 0
-1 Avg 0.748571 0.503689 4.64801e-05
