ID, ObjName, IoU50, IoU75, processTime(s)
0 car 0.268657 0.268657 0.020865
1 car 0.666667 0.166667 0.0248235
3 car 0.774648 0.647887 0.0125429
24 car 0.222222 0.166667 0.0104118
29 car 0.666667 0.333333 0.027
49 truck 0.2 0.133333 0.0139286
50 car 0.857143 0.428571 0.0151667
90 car 0.206897 0.172414 0.00703571
92 car 0.2 0.1 0.00811111
94 car 1 1 0
102 car 0.166667 0.0833333 0.0134545
108 car 1 0.5 0.008
124 train 0.75 0.5 0.0566667
-1 Avg 0.53689 0.34622 0.0167697
