ID, ObjName, IoU50, IoU75, processTime(s)
0 car 0.0214477 0.0214477 0.00939266
2 car 0.125 0.125 0.00514286
3 car 0.352941 0.117647 0.00875
4 car 0.037037 0.037037 0.00992308
6 car 0.272727 0.272727 0.0051
7 car 0.227273 0.227273 0.0067619
18 bus 0.0588235 0.0588235 0.002125
-1 Avg 0.156464 0.122851 0.00674221
