ID, ObjName, IoU50, IoU75, processTime(s)
0 car 0.8 0.6 0.00133333
18 person 0.6 0.4 0.0024
22 car 0.0144928 0.0144928 0.000117647
26 person 0.181818 0.0909091 0.000909091
28 person 0.25 0.125 0.000666667
62 person 0.5 0.25 0.006
65 person 0.125 0.0625 0.00107143
-1 Avg 0.353044 0.220415 0.00178545
